id,reactants>reagents>production
US04912231,C[O:13][C:11]([C@H:10]1[N:9]([C:1]([c:2]2[cH:3][cH:4][cH:5][cH:6][cH:7]2)=[O:8])[CH2:17][C@@H:16]([O:18][S:19](=[O:20])(=[O:21])[c:22]2[cH:23][cH:24][c:25]([CH3:26])[cH:27][cH:28]2)[CH2:15]1)=[O:12]>>[C:1]([c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1)(=[O:8])[N:9]1[C@H:10]([C:11](=[O:12])[OH:13])[CH2:15][C@H:16]([O:18][S:19](=[O:20])(=[O:21])[c:22]2[cH:23][cH:24][c:25]([CH3:26])[cH:27][cH:28]2)[CH2:17]1
US05399487,>>[C:16]1(=[O:26])[c:17]2[c:18]([cH:22][cH:23][cH:24][cH:25]2)[C:19](=[O:21])[N:28]1[c:29]1[cH:30][c:31]2[cH:32][cH:33][cH:34][c:35]([S:39](=[O:40])(=[O:41])[O-:42])[c:36]2[cH:37][cH:38]1
US07687637B2,[n:3]1(-[c:8]2[cH:9][c:10](-[c:18]3[c:19]([CH3:24])[n:20][c:21]([NH2:23])[s:22]3)[cH:11][cH:12][c:13]2[S:14](=[O:15])(=[O:16])[CH3:17])[cH:4][n:5][cH:6][cH:7]1.c1cn([C:25](=[O:26])[n:27]2[cH:28][n:29][cH:30][cH:31]2)cn1>>[n:3]1(-[c:8]2[cH:9][c:10](-[c:18]3[c:19]([CH3:24])[n:20][c:21]([NH:23][C:25](=[O:26])[n:27]4[cH:28][n:29][cH:30][cH:31]4)[s:22]3)[cH:11][cH:12][c:13]2[S:14](=[O:15])(=[O:16])[CH3:17])[cH:4][n:5][cH:6][cH:7]1
US06455550B1,O=C(OCC1c2ccccc2-c2ccccc21)[NH:8][C@@H:7]([CH2:6][c:5]1[cH:4][cH:3][c:2]([NH2:1])[cH:30][cH:29]1)[C:26](=[O:27])[OH:28].Cl[S:40]([c:33]1[c:32]([CH3:31])[cH:37][c:36]([CH3:38])[cH:35][c:34]1[CH3:39])(=[O:41])=[O:42]>>[NH:1]([c:2]1[cH:3][cH:4][c:5]([CH2:6][C@H:7]([NH2:8])[C:26](=[O:27])[OH:28])[cH:29][cH:30]1)[S:40]([c:33]1[c:32]([CH3:31])[cH:37][c:36]([CH3:38])[cH:35][c:34]1[CH3:39])(=[O:41])=[O:42]
US05399291,[CH2:1]([CH3:2])[O:3][CH2:4][C:5]([C:6]([C:7]([CH2:8][O:9][c:10]1[cH:11][cH:12][c:13]([OH:16])[cH:14][cH:15]1)([F:17])[F:18])([F:19])[F:20])([F:21])[F:22].O[C:27]([c:26]1[cH:25][c:24]([Cl:23])[c:32]([O:33][CH2:34][CH2:35][CH2:36][CH2:37][CH2:38][CH2:39][CH2:40][CH3:41])[cH:31][cH:30]1)=[O:28]>>[CH2:1]([CH3:2])[O:3][CH2:4][C:5]([C:6]([C:7]([CH2:8][O:9][c:10]1[cH:11][cH:12][c:13]([O:16][C:27]([c:26]2[cH:25][c:24]([Cl:23])[c:32]([O:33][CH2:34][CH2:35][CH2:36][CH2:37][CH2:38][CH2:39][CH2:40][CH3:41])[cH:31][cH:30]2)=[O:28])[cH:14][cH:15]1)([F:17])[F:18])([F:19])[F:20])([F:21])[F:22]
US04699910,[CH2:1]([C:2]#[CH:3])[NH2:4].Cl[CH2:7][CH2:8][NH:9][c:10]1[cH:11][c:12]([C:16]([F:17])([F:18])[F:19])[cH:13][cH:14][cH:15]1>>[CH2:1]([C:2]#[CH:3])[NH:4][CH2:7][CH2:8][NH:9][c:10]1[cH:11][c:12]([C:16]([F:17])([F:18])[F:19])[cH:13][cH:14][cH:15]1
US04634710,O[N+:9](=[O:10])[O-:12].[Cl:13][CH2:14][c:15]1[n+:16]([O-:22])[cH:17][cH:18][cH:19][c:20]1[CH3:21]>>[N+:9](=[O:10])([O-:12])[c:19]1[cH:18][cH:17][n+:16]([O-:22])[c:15]([CH2:14][Cl:13])[c:20]1[CH3:21]
US08354411B2,[Mg+][CH3:1].CON(C)[C:7](=[O:8])[c:9]1[n:10][n:11](-[c:18]2[c:19]([O:29][CH3:30])[cH:20][c:21](-[n:24]3[n:25][cH:26][cH:27][cH:28]3)[cH:22][cH:23]2)[cH:12][c:13]([O:16][CH3:17])[c:14]1=[O:15]>>[CH3:1][C:7](=[O:8])[c:9]1[n:10][n:11](-[c:18]2[c:19]([O:29][CH3:30])[cH:20][c:21](-[n:24]3[n:25][cH:26][cH:27][cH:28]3)[cH:22][cH:23]2)[cH:12][c:13]([O:16][CH3:17])[c:14]1=[O:15]
US05360822,[C:17]([C@H:18]([OH:19])[C@@H:20]([OH:21])[C:22](=[O:23])[OH:24])(=[O:25])[OH:26]>>[C:17]([C@H:18]([OH:19])[C@@H:20]([OH:21])[C:22](=[O:23])[OH:24])(=[O:25])[OH:26]
US03941655,[O:11]=[CH:12][C@H:13]([OH:14])[C@@H:15]([OH:16])[C@H:17]([OH:18])[C@H:19]([OH:20])[CH2:21][OH:22]>>[OH:11][CH2:12][C@:13]1([OH:14])[C@@H:15]([OH:16])[C@H:17]([OH:18])[C@@H:19]([CH2:21][OH:22])[O:20]1
US09254251B2,C[O:28][c:22]1[cH:21][c:20]([CH2:19][NH:18][C:16]([c:15]2[c:14]([OH:31])[cH:13][c:12]([OH:32])[c:11]([C:1]34[CH2:2][CH:3]5[CH2:4][CH:5]([CH2:6][CH:7]([CH2:8]3)[CH2:9]5)[CH2:10]4)[cH:30]2)=[O:17])[cH:25][c:24]([O:26][CH3:27])[cH:23]1>>[C:1]12([c:11]3[c:12]([OH:32])[cH:13][c:14]([OH:31])[c:15]([C:16](=[O:17])[NH:18][CH2:19][c:20]4[cH:21][c:22]([OH:28])[cH:23][c:24]([O:26][CH3:27])[cH:25]4)[cH:30]3)[CH2:2][CH:3]3[CH2:4][CH:5]([CH2:6][CH:7]([CH2:8]1)[CH2:9]3)[CH2:10]2
US08536209B2,C1C[O:6][C:2]([CH3:1])([c:7]2[cH:8][cH:9][c:10]([CH2:12][n:13]3[n:14][cH:15][c:16]([NH2:18])[n:17]3)[o:11]2)O1.O[C:33]([c:28]1[c:27](-[c:23]2[cH:22][c:21]([C:20]([F:19])([F:36])[F:37])[cH:26][cH:25][cH:24]2)[o:31][c:30]([CH3:32])[n:29]1)=[O:34]>>[CH3:1][C:2](=[O:6])[c:7]1[cH:8][cH:9][c:10]([CH2:12][n:13]2[n:14][cH:15][c:16]([NH:18][C:33]([c:28]3[c:27](-[c:23]4[cH:22][c:21]([C:20]([F:19])([F:36])[F:37])[cH:26][cH:25][cH:24]4)[o:31][c:30]([CH3:32])[n:29]3)=[O:34])[n:17]2)[o:11]1
US08901124B2,CC(C)(C)OC(=O)[NH:17][C@@H:12]1[C@H:11]([NH:10][c:7]2[cH:6][c:5]([NH:25][c:26]3[n:27][c:28]([O:32][CH:33]([CH3:34])[CH3:35])[cH:29][cH:30][cH:31]3)[c:4]([C:1]([NH2:2])=[O:3])[n:9][n:8]2)[CH2:16][CH2:15][O:14][CH2:13]1>>[C:1]([NH2:2])(=[O:3])[c:4]1[c:5]([NH:25][c:26]2[n:27][c:28]([O:32][CH:33]([CH3:34])[CH3:35])[cH:29][cH:30][cH:31]2)[cH:6][c:7]([NH:10][C@H:11]2[C@@H:12]([NH2:17])[CH2:13][O:14][CH2:15][CH2:16]2)[n:8][n:9]1
US08637536B2,[Li][CH2:2]CCC.O=[CH:10][c:9]1[cH:8][c:7]([F:6])[c:14]([O:15][c:16]2[n:17][c:18]([C:22]([F:23])([F:24])[F:25])[cH:19][cH:20][cH:21]2)[cH:13][cH:12]1>>[CH2:2]=[CH:10][c:9]1[cH:8][c:7]([F:6])[c:14]([O:15][c:16]2[n:17][c:18]([C:22]([F:23])([F:24])[F:25])[cH:19][cH:20][cH:21]2)[cH:13][cH:12]1
US07754737B2,Br[CH:1]1[CH2:2][CH2:3][CH2:4][CH2:5]1.[Si:10]([CH3:11])([CH3:12])([C:13]([CH3:14])([CH3:15])[CH3:16])[O:17][CH2:18][CH:19]1[N:20]([C:22](=[O:23])[O:24][C:25]([CH3:26])([CH3:27])[CH3:28])[CH2:21]1>>[CH:1]1([CH2:21][C@@H:19]([CH2:18][O:17][Si:10]([CH3:11])([CH3:12])[C:13]([CH3:14])([CH3:15])[CH3:16])[NH:20][C:22](=[O:23])[O:24][C:25]([CH3:26])([CH3:27])[CH3:28])[CH2:2][CH2:3][CH2:4][CH2:5]1
US04532349,[N-]=[N+]=[N:1][CH2:4][C:5](=[O:6])[NH:7][c:8]1[cH:9][cH:10][c:11]([S:14](=[O:15])(=[O:16])[c:17]2[cH:18][c:19]([Cl:23])[cH:20][cH:21][cH:22]2)[cH:12][cH:13]1>>[NH2:1][CH2:4][C:5](=[O:6])[NH:7][c:8]1[cH:9][cH:10][c:11]([S:14](=[O:15])(=[O:16])[c:17]2[cH:18][c:19]([Cl:23])[cH:20][cH:21][cH:22]2)[cH:12][cH:13]1
US05834494,[C:1]([CH3:2])(=[O:3])[N:4]1[CH2:5][CH2:6][c:7]2[cH:8][cH:9][c:10]([Cl:13])[cH:11][c:12]21.Cl[I:14]>>[C:1]([CH3:2])(=[O:3])[N:4]1[CH2:5][CH2:6][c:7]2[cH:8][c:9]([I:14])[c:10]([Cl:13])[cH:11][c:12]21
US04140717,Cl[Cl:1].[CH3:3][O:4][C:5]1([O:13][CH3:14])[C:6](=[N:11][OH:12])[CH2:7][CH2:8][CH2:9][CH2:10]1>>[Cl:1][CH:10]1[C:5]([O:4][CH3:3])([O:13][CH3:14])[C:6](=[N:11][OH:12])[CH2:7][CH2:8][CH2:9]1
US09238644B2,Cl[c:2]1[n:3][cH:4][c:5]([C:9]([F:10])([F:11])[F:12])[c:6]([Cl:8])[n:7]1.[NH2:18][c:19]1[cH:20][cH:21][c:22]([CH:25]([CH3:26])[NH:27][C:28]([O:29][C:30]([CH3:31])([CH3:32])[CH3:33])=[O:34])[cH:23][cH:24]1>>[c:2]1([NH:18][c:19]2[cH:20][cH:21][c:22]([CH:25]([CH3:26])[NH:27][C:28]([O:29][C:30]([CH3:31])([CH3:32])[CH3:33])=[O:34])[cH:23][cH:24]2)[n:3][cH:4][c:5]([C:9]([F:10])([F:11])[F:12])[c:6]([Cl:8])[n:7]1
US06699859B1,Br[c:2]1[c:3]([Cl:9])[n:4][n:5][c:6]([Cl:8])[cH:7]1.[NH:16]1[CH2:17][CH2:18][CH2:19][CH2:20]1>>[c:2]1([N:16]2[CH2:17][CH2:18][CH2:19][CH2:20]2)[c:3]([Cl:9])[n:4][n:5][c:6]([Cl:8])[cH:7]1
US08507487B2,N[c:3]1[c:2](Cl)[cH:7][cH:6]c[n:4]1.CC[N:11](CC)CC.Cl[C:16]([CH3:17])=[O:18].Cl[CH2:25][Cl:27]>>[cH:2]1[cH:3][n:4][c:25]([Cl:27])[c:6]([NH:11][C:16]([CH3:17])=[O:18])[cH:7]1
US05100460,[c:1]1([S:7](=[O:8])(=[O:9])[CH3:10])[cH:2][cH:3][cH:4][cH:5][cH:6]1.[Cl:15][CH2:16][C:17](=[O:18])[c:19]1[cH:20][cH:21][cH:22][cH:23][cH:24]1>>[c:1]1([S:7](=[O:8])(=[O:9])[CH2:10][C:17]([CH2:16][Cl:15])([OH:18])[c:19]2[cH:20][cH:21][cH:22][cH:23][cH:24]2)[cH:2][cH:3][cH:4][cH:5][cH:6]1
US06043235,O=[C:12]1[CH2:11][CH2:10][C@H:9]2[C@@H:8]3[CH2:7][CH2:6][c:5]4[cH:4][c:3]([O:2][CH3:1])[cH:20][cH:19][c:18]4[C@H:17]3[CH2:16][CH2:15][C@@:13]21[CH3:14].COc1ccc(P2(=S)SP(c3ccc(OC)cc3)(=[S:31])S2)cc1>>[CH3:1][O:2][c:3]1[cH:4][c:5]2[c:18]([cH:19][cH:20]1)[C@@H:17]1[C@@H:8]([CH2:7][CH2:6]2)[C@@H:9]2[CH2:10][CH2:11][C:12](=[S:31])[C@@:13]2([CH3:14])[CH2:15][CH2:16]1
US08383825B2,O=[C:7]([c:6]1[cH:5][n:4][cH:3][c:2]([Br:1])[cH:10]1)[OH:9].[CH3:20][S@@:21](=[O:22])(=[NH:23])[c:24]1[cH:25][cH:26][cH:27][cH:28][cH:29]1>>[Br:1][c:2]1[cH:3][n:4][cH:5][c:6]([C:7](=[O:9])[N:23]=[S@@:21]([CH3:20])(=[O:22])[c:24]2[cH:25][cH:26][cH:27][cH:28][cH:29]2)[cH:10]1
US05006548,[s:1]1[c:2]([CH:6]=[CH:7][C:8](=[O:9])[NH:10][c:11]2[c:12]([C:13](=[O:14])[OH:15])[cH:16][cH:17][cH:18][cH:19]2)[cH:3][cH:4][cH:5]1.I[CH2:31][CH3:32]>>[s:1]1[c:2]([CH:6]=[CH:7][C:8](=[O:9])[NH:10][c:11]2[c:12]([C:13](=[O:14])[O:15][CH2:31][CH3:32])[cH:16][cH:17][cH:18][cH:19]2)[cH:3][cH:4][cH:5]1
US06133319,[CH:1]([CH3:2])([CH3:3])[N:4]=[C:5]=[O:6].[c:7]1([S:13](=[O:14])(=[O:15])[NH:16][c:17]2[c:18]([NH2:19])[cH:20][cH:21][c:22]([C:24]#[N:25])[cH:23]2)[cH:8][cH:9][cH:10][cH:11][cH:12]1>>[CH:1]([CH3:2])([CH3:3])[NH:4][C:5](=[O:6])[NH:19][c:18]1[c:17]([NH:16][S:13]([c:7]2[cH:8][cH:9][cH:10][cH:11][cH:12]2)(=[O:14])=[O:15])[cH:23][c:22]([C:24]#[N:25])[cH:21][cH:20]1
US07781584B2,[Cl:1][c:2]1[cH:3][c:4](=[O:9])[nH:5][c:6](=[O:8])[nH:7]1.Br[CH2:15][c:16]1[c:17]([C:22]#[N:23])[cH:18][cH:19][cH:20][cH:21]1>>[Cl:1][c:2]1[cH:3][c:4](=[O:9])[nH:5][c:6](=[O:8])[n:7]1[CH2:15][c:16]1[c:17]([C:22]#[N:23])[cH:18][cH:19][cH:20][cH:21]1
US08748610B2,CC(C)(C)OC(=O)[NH:16][c:13]1[cH:12][cH:11][c:10]([Si:9]([CH3:8])([CH:24]=[CH2:25])[CH3:26])[cH:15][cH:14]1>>[CH3:8][Si:9]([c:10]1[cH:11][cH:12][c:13]([NH2:16])[cH:14][cH:15]1)([CH:24]=[CH2:25])[CH3:26]
US07619091B2,[CH3:1][c:2]1[n:3][c:4]2[c:5]([OH:12])[cH:6][cH:7][cH:8][c:9]2[cH:10][cH:11]1.[NH2:32][OH:33]>>[CH:1]([c:2]1[n:3][c:4]2[c:5]([OH:12])[cH:6][cH:7][cH:8][c:9]2[cH:10][cH:11]1)=[N:32][OH:33]
US04284767,[o:1]1[c:2](/[C:6]([C:7](=[O:8])[NH:9][C@H:10]2[C@@H:11]3[N:12]([C:13]([C:19](=[O:20])[OH:21])=[C:14]([CH2:17][OH:18])[CH2:15][S:16]3)[C:22]2=[O:23])=[N:24]/[O:25][CH3:26])[cH:3][cH:4][cH:5]1.[N-:27]=[C:28]=[O:29]>>[o:1]1[c:2](/[C:6]([C:7](=[O:8])[NH:9][C@H:10]2[C@@H:11]3[N:12]([C:13]([C:19](=[O:20])[OH:21])=[C:14]([CH2:17][O:18][C:28]([NH2:27])=[O:29])[CH2:15][S:16]3)[C:22]2=[O:23])=[N:24]/[O:25][CH3:26])[cH:3][cH:4][cH:5]1
US09359303B2,[CH3:1][O:2][c:3]1[c:4]([CH:5]=[O:6])[cH:7][cH:8][cH:9][c:10]1[O:11][CH3:12].[C:13]1(=[O:19])[CH2:14][CH2:15][C:16](=[O:17])[O:18]1>>[CH3:1][O:2][c:3]1[c:4]([CH:5]2[O:6][C:13](=[O:19])[CH2:14][CH:15]2[C:16](=[O:17])[OH:18])[cH:7][cH:8][cH:9][c:10]1[O:11][CH3:12]
US04421758,[Cl:1][c:2]1[c:3]([OH:9])[cH:4][cH:5][c:6]([Cl:8])[cH:7]1.Cc1ccc(S(=O)(=O)O[CH2:23][CH:24]2[O:25][CH:26]=[CH:27][CH2:28][CH2:29]2)cc1>>[Cl:1][c:2]1[c:3]([O:9][CH2:23][CH:24]2[O:25][CH:26]=[CH:27][CH2:28][CH2:29]2)[cH:4][cH:5][c:6]([Cl:8])[cH:7]1
US08232278B2,[CH3:3][OH:4].Cl[c:6]1[n:7][c:8]([N:26]2[CH:27]([C:32]([NH:33][c:34]3[cH:35][c:36]([CH3:40])[cH:37][cH:38][cH:39]3)=[O:41])[CH2:28][NH:29][CH2:30][CH2:31]2)[c:9]2[c:10]([n:11]1)[cH:12][cH:13][c:14](-[c:16]1[cH:17][c:18]([O:24][CH3:25])[c:19]([O:22][CH3:23])[cH:20][cH:21]1)[n:15]2>>[CH3:3][O:4][c:6]1[n:7][c:8]([N:26]2[CH:27]([C:32]([NH:33][c:34]3[cH:35][c:36]([CH3:40])[cH:37][cH:38][cH:39]3)=[O:41])[CH2:28][NH:29][CH2:30][CH2:31]2)[c:9]2[c:10]([n:11]1)[cH:12][cH:13][c:14](-[c:16]1[cH:17][c:18]([O:24][CH3:25])[c:19]([O:22][CH3:23])[cH:20][cH:21]1)[n:15]2
US08859780B2,[O:1]([c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1)[CH2:8][c:9]1[n:10][c:11]2[c:12]([nH:13]1)[cH:14][cH:15][cH:16][cH:17]2.Br[CH2:25][CH:26]([CH3:27])[CH3:28]>>[O:1]([c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1)[CH2:8][c:9]1[n:10][c:11]2[c:12]([n:13]1[CH2:25][CH:26]([CH3:27])[CH3:28])[cH:14][cH:15][cH:16][cH:17]2
US06054457,O=C1c2ccccc2C(=O)[N:5]1[CH2:4][CH2:3][C@H:2]([CH3:1])[O:16][c:17]1[c:18]([C:19](=[O:20])[NH:21][c:22]2[c:23]([O:54][CH3:55])[cH:24][c:25]([C:26](=[O:27])[N:28]([c:29]3[c:30]([O:36][CH2:37][CH2:38][CH2:39][CH2:40][CH2:41][C:42](=[O:43])[N:44]4[CH2:45][CH2:46][N:47]([CH3:50])[CH2:48][CH2:49]4)[cH:31][c:32]([CH3:35])[cH:33][cH:34]3)[CH3:51])[cH:52][cH:53]2)[cH:56][cH:57][cH:58][cH:59]1>>[CH3:1][C@@H:2]([CH2:3][CH2:4][NH2:5])[O:16][c:17]1[c:18]([C:19](=[O:20])[NH:21][c:22]2[c:23]([O:54][CH3:55])[cH:24][c:25]([C:26](=[O:27])[N:28]([c:29]3[c:30]([O:36][CH2:37][CH2:38][CH2:39][CH2:40][CH2:41][C:42](=[O:43])[N:44]4[CH2:45][CH2:46][N:47]([CH3:50])[CH2:48][CH2:49]4)[cH:31][c:32]([CH3:35])[cH:33][cH:34]3)[CH3:51])[cH:52][cH:53]2)[cH:56][cH:57][cH:58][cH:59]1
US09090601B2,O=[C:14]([c:13]1[c:9](-[c:3]2[c:2]([F:1])[cH:7][c:6]([F:8])[cH:5][cH:4]2)[n:10][c:11](-[c:17]2[c:18]([CH3:26])[n:19][n:20]3[c:21]2[cH:22][cH:23][cH:24][cH:25]3)[s:12]1)[NH2:16].N[NH2:28].COC(OC)[N:33](C)[CH3:35]>>[F:1][c:2]1[c:3](-[c:9]2[n:10][c:11](-[c:17]3[c:18]([CH3:26])[n:19][n:20]4[c:21]3[cH:22][cH:23][cH:24][cH:25]4)[s:12][c:13]2-[c:14]2[n:16][nH:28][cH:35][n:33]2)[cH:4][cH:5][c:6]([F:8])[cH:7]1
US05574159,CCOC(=O)[N:7]1[C@@H:6]([CH3:16])[CH2:5][N:4]([CH2:1][CH:2]=[CH2:3])[C@H:9]([CH3:10])[CH2:8]1>>[CH2:1]([CH:2]=[CH2:3])[N:4]1[CH2:5][CH:6]([CH3:16])[NH:7][CH2:8][CH:9]1[CH3:10]
US08217069B2,[NH2:1]/[C:2](=[CH:3]\[C:4](=[O:5])[O:6][CH3:7])[CH3:8].CC[O:11][C:12](=O)[N:14]=[C:15]=[O:16]>>[n:1]1[c:2]([CH3:8])[c:3]([C:4](=[O:5])[O:6][CH3:7])[c:15]([OH:16])[n:14][c:12]1[OH:11]
US08030322B2,>>[CH2:2]([CH2:3][CH2:4][CH2:5][n:6]1[c:7](=[O:18])[nH:8][c:9](=[O:17])[c:10](-[c:12]2[s:13][cH:14][cH:15][cH:16]2)[cH:11]1)[N:28]1[CH2:27][C:26]2([CH2:25][CH2:24][c:23]3[cH:22][c:21]([F:20])[cH:33][cH:32][c:31]32)[CH2:30][CH2:29]1
US09353090B2,Cl[c:6]1[cH:5][cH:4][n:3][c:2]([Cl:1])[n:7]1.OB(O)[c:17]1[c:16]([OH:15])[c:21]([CH3:22])[cH:20][cH:19][cH:18]1>>[Cl:1][c:2]1[n:3][cH:4][cH:5][c:6](-[c:17]2[c:16]([OH:15])[c:21]([CH3:22])[cH:20][cH:19][cH:18]2)[n:7]1
US08575184B2,O[CH2:8][c:4]1[cH:3][c:2]([Br:1])[cH:7][n:6][cH:5]1.O=S(Cl)[Cl:12]>>[Br:1][c:2]1[cH:3][c:4]([CH2:8][Cl:12])[cH:5][n:6][cH:7]1
US04892963,[CH3:1][C:2]([CH3:3])([CH3:4])[c:5]1[cH:6][cH:7][c:8]([N:11]([C:12](=[O:13])[c:14]2[cH:15][n:16][o:17][c:18]2[CH3:19])[CH3:20])[cH:9][cH:10]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[c:5]1[cH:6][cH:7][c:8]([N:11]([C:12](=[O:13])[C:14]([C:15]#[N:16])=[C:18]([OH:17])[CH3:19])[CH3:20])[cH:9][cH:10]1
